Título;Gênero;Rótulos de Gênero;Pré-estreia;Temporadas;Temporadas Analisadas;Episódios Analisados;Duração;Duração Mínima;Duração Máxima;Status;Ativo;Tabela;Linguagem;Data de Inclusão;Data de Alteração
Luke Cage;neo-blaxploitation/neo-western;neo-blaxploitation,neo-western;2016-09-30;2 seasons, 26 episodes;2;26;46–69 min.;46;69;Ended;0;Marvel;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
First and Last;reality;reality;2018-09-07;1 season, 6 episodes;1;6;38–43 min.;38;43;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Sacred Games;drama;drama;2018-07-06;1 season, 8 episodes;1;8;43–55 min.;43;55;Renewed;1;ForeignLanguage;Hindi;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Flinch;reality television/game show;reality,television,game,show;2019-05-03;1 season, 10 episodes;1;10;20–25 min.;20;25;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
W/ Bob & David;sketch comedy;sketch,comedy;2015-11-13;1 season, 5 episodes;1;5;27–33 min.;27;33;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Word Party;childrens-animation;childrens-animation;2016-07-08;3 seasons, 40 episodes;3;40;13 min.;13;13;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dead to Me;dark comedy-drama;dark,comedy-drama;2019-05-03;1 season, 10 episodes;1;10;26–33 min.;26;33;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Terrorism Close Calls;docu-series;docu-series;2018-10-26;1 season, 10 episodes;1;10;47–49 min.;47;49;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Bill Nye Saves the World;science;science;2017-04-21;3 seasons, 25 episodes;3;25;26–41 min.;26;41;Ended;0;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Cooking on High;cooking show;cooking,show;2018-06-22;1 season, 12 episodes;1;12;13–15 min.;13;15;Ended;0;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
All About the Washingtons;comedy;comedy;2018-08-10;1 season, 10 episodes;1;10;22–27 min.;22;27;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Wormwood;psychological drama;psychological,drama;2017-12-15;6 chapters;0;0;41–48 min.;41;48;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Altered Carbon;science fiction;science-fiction;2018-02-02;1 season, 10 episodes;1;10;46–66 min.;46;66;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Boss Baby: Back in Business;childrens-animation;childrens-animation;2018-04-06;2 seasons, 26 episodes;2;26;24 min.;24;24;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Leila;drama;drama;2019-06-14;1 season, 6 episodes;1;6;40–54 min.;40;54;Pending;1;ForeignLanguage;Hindi;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
November 13: Attack on Paris;documentary;documentary;2018-06-01;3 episodes;0;3;47–59 min.;47;59;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Haters Back Off;comedy;comedy;2016-10-14;2 seasons, 16 episodes;2;16;24–36 min.;24;36;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Estocolmo;crime drama;crime,drama;2016-11-11;1 season, 13 episodes;1;13;37–49 min.;37;49;Ended;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
